paymentID,accountID,loanID,paymentDate,actualAmount,paymentHistoryCode,dueDate,totalPrincipal,scheduledAmount,transactionID,category,stage
45476383_012021,45476383_1497,45476383,01/01/2021,140517.50,45476383hist2017,15/01/2021,0.00,877.47,T45476383_012021,missing,MortgageServicingStage
45476383_112019,45476383_1497,45476383,01/11/2019,140517.50,45476383hist2017,15/11/2019,265.42,877.47,T45476383_112019,due,MortgageServicingStage
45476383_092020,45476383_1497,45476383,01/09/2020,140517.50,45476383hist2017,15/09/2020,0.00,877.47,T45476383_092020,missing,MortgageServicingStage
45476383_082019,45476383_1497,45476383,01/08/2019,140915.01,45476383hist2017,15/08/2019,131.68,877.47,T45476383_082019,due,MortgageServicingStage
45476383_082018,45476383_1497,45476383,01/08/2018,139426.61,45476383hist2017,15/08/2018,0.00,877.47,T45476383_082018,missing,MortgageServicingStage
45476383_092021,45476383_1497,45476383,01/09/2021,158051.46,45476383hist2017,15/09/2021,0.00,877.47,T45476383_092021,missing,MortgageServicingStage
45476383_112020,45476383_1497,45476383,01/11/2020,140517.50,45476383hist2017,15/11/2020,0.00,877.47,T45476383_112020,missing,MortgageServicingStage
45476383_062020,45476383_1497,45476383,01/06/2020,140517.50,45476383hist2017,15/06/2020,0.00,877.47,T45476383_062020,missing,MortgageServicingStage
45476383_072019,45476383_1497,45476383,01/07/2019,141046.69,45476383hist2017,15/07/2019,131.27,877.47,T45476383_072019,due,MortgageServicingStage
45476383_072018,45476383_1497,45476383,01/07/2018,139426.61,45476383hist2017,15/07/2018,437.49,877.47,T45476383_072018,missing,MortgageServicingStage
45476383_062021,45476383_1497,45476383,01/06/2021,158051.46,45476383hist2017,15/06/2021,141.92,877.47,T45476383_062021,due,MortgageServicingStage
45476383_062019,45476383_1497,45476383,01/06/2019,141177.96,45476383hist2017,15/06/2019,0.00,877.47,T45476383_062019,due,MortgageServicingStage
45476383_072020,45476383_1497,45476383,01/07/2020,140517.50,45476383hist2017,15/07/2020,0.00,877.47,T45476383_072020,missing,MortgageServicingStage
45476383_072021,45476383_1497,45476383,01/07/2021,158051.46,45476383hist2017,15/07/2021,0.00,877.47,T45476383_072021,due,MortgageServicingStage
45476383_062018,45476383_1497,45476383,01/06/2018,139864.10,45476383hist2017,15/06/2018,436.13,877.47,T45476383_062018,missing,MortgageServicingStage
45476383_112018,45476383_1497,45476383,01/11/2018,141828.20,45476383hist2017,15/11/2018,128.83,877.47,T45476383_112018,due,MortgageServicingStage
45476383_092019,45476383_1497,45476383,01/09/2019,140782.92,45476383hist2017,15/09/2019,132.09,877.47,T45476383_092019,due,MortgageServicingStage
45476383_082020,45476383_1497,45476383,01/08/2020,140517.50,45476383hist2017,15/08/2020,0.00,877.47,T45476383_082020,missing,MortgageServicingStage
45476383_082021,45476383_1497,45476383,01/08/2021,158051.46,45476383hist2017,15/08/2021,0.00,877.47,T45476383_082021,due,MortgageServicingStage
45476383_092018,45476383_1497,45476383,01/09/2018,142085.46,45476383hist2017,15/09/2018,-2658.85,877.47,T45476383_092018,due,MortgageServicingStage
45476383_112017,45476383_1497,45476383,01/11/2017,140735.00,45476383hist2017,15/11/2017,,877.47,T45476383_112017,due,MortgageServicingStage
45476383_032021,45476383_1497,45476383,01/03/2021,140517.50,45476383hist2017,15/03/2021,0.00,877.47,T45476383_032021,missing,MortgageServicingStage
45476383_022018,45476383_1497,45476383,01/02/2018,140735.00,45476383hist2017,15/02/2018,0.00,877.47,T45476383_022018,missing,MortgageServicingStage
45476383_022019,45476383_1497,45476383,01/02/2019,141828.20,45476383hist2017,15/02/2019,0.00,877.47,T45476383_022019,missing,MortgageServicingStage
45476383_032020,45476383_1497,45476383,01/03/2020,140517.50,45476383hist2017,15/03/2020,0.00,877.47,T45476383_032020,missing,MortgageServicingStage
45476383_092017,45476383_1497,45476383,01/09/2017,141168.42,45476383hist2017,15/09/2017,,877.47,T45476383_092017,due,MortgageServicingStage
45476383_032018,45476383_1497,45476383,01/03/2018,140300.23,45476383hist2017,15/03/2018,434.77,877.47,T45476383_032018,missing,MortgageServicingStage
45476383_022021,45476383_1497,45476383,01/02/2021,140517.50,45476383hist2017,15/02/2021,0.00,877.47,T45476383_022021,missing,MortgageServicingStage
45476383_022020,45476383_1497,45476383,01/02/2020,140517.50,45476383hist2017,15/02/2020,0.00,877.47,T45476383_022020,missing,MortgageServicingStage
45476383_032019,45476383_1497,45476383,01/03/2019,140353.97,45476383hist2017,15/03/2019,1474.23,877.47,T45476383_032019,due,MortgageServicingStage
45476383_102017,45476383_1497,45476383,01/10/2017,140735.00,45476383hist2017,15/10/2017,433.42,877.47,T45476383_102017,due,MortgageServicingStage
